id,source_id,market,state,reported_date,month,reporter_type,issue,operator,source_url
ATX-1,1,Austin,TX,2023-07-08,2023-07,AFD,Near Miss,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/1
ATX-6,6,Austin,TX,2023-07-13,2023-07,Resident Feedback,Nuisance,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/6
ATX-5,5,Austin,TX,2023-07-15,2023-07,Resident Feedback,Blocking Traffic,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/5
ATX-4,4,Austin,TX,2023-07-18,2023-07,APD,Blocking Traffic,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/4
ATX-2,2,Austin,TX,2023-07-26,2023-07,Resident Feedback,Nuisance,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/2
ATX-3,3,Austin,TX,2023-07-30,2023-07,Resident Feedback,Safety Concern,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/3
ATX-7,7,Austin,TX,2023-08-01,2023-08,Resident Feedback,Safety Concern,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/7
ATX-14,14,Austin,TX,2023-08-01,2023-08,Resident Feedback,Safety Concern,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/14
ATX-12,12,Austin,TX,2023-08-04,2023-08,Resident Feedback,Near Miss,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/12
ATX-10,10,Austin,TX,2023-08-05,2023-08,Resident Feedback,Blocking Traffic,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/10
ATX-8,8,Austin,TX,2023-08-06,2023-08,AFD,Blocking Traffic,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/8
ATX-9,9,Austin,TX,2023-08-07,2023-08,APD,Ignore APD Direction,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/9
ATX-13,13,Austin,TX,2023-08-08,2023-08,APD,Ignore APD Direction,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/13
ATX-11,11,Austin,TX,2023-08-17,2023-08,AFD,Blocking Traffic,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/11
ATX-22,22,Austin,TX,2023-08-17,2023-08,AFD,Near Miss,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/22
ATX-17,17,Austin,TX,2023-08-23,2023-08,AFD,Collision,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/17
ATX-15,15,Austin,TX,2023-08-30,2023-08,APD,Collision,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/15
ATX-16,16,Austin,TX,2023-08-30,2023-08,AFD,Near Miss,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/16
ATX-18,18,Austin,TX,2023-09-02,2023-09,AFD,Blocking Traffic,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/18
ATX-26,26,Austin,TX,2023-09-02,2023-09,AFD,Near Miss,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/26
ATX-19,19,Austin,TX,2023-09-07,2023-09,Resident Feedback,Nuisance,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/19
ATX-20,20,Austin,TX,2023-09-07,2023-09,Resident Feedback,Near Miss,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/20
ATX-21,21,Austin,TX,2023-09-07,2023-09,Resident Feedback,Safety Concern,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/21
ATX-23,23,Austin,TX,2023-09-09,2023-09,AFD,Collision,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/23
ATX-24,24,Austin,TX,2023-09-09,2023-09,Resident Feedback,Safety Concern,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/24
ATX-29,29,Austin,TX,2023-09-12,2023-09,APD,Collision,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/29
ATX-25,25,Austin,TX,2023-09-13,2023-09,APD,Blocking Traffic,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/25
ATX-82,82,Austin,TX,2023-09-14,2023-09,Resident Feedback,Near Miss,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/82
ATX-27,27,Austin,TX,2023-09-15,2023-09,Resident Feedback,Near Miss,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/27
ATX-28,28,Austin,TX,2023-09-17,2023-09,Resident Feedback,Blocking Traffic,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/28
ATX-30,30,Austin,TX,2023-09-18,2023-09,Resident Feedback,Collision,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/30
