month,market,state,complaints
2025-04,San Francisco,CA,19
2025-05,San Francisco,CA,35
2025-06,San Francisco,CA,31
2025-07,San Francisco,CA,30
2025-08,San Francisco,CA,45
2025-09,San Francisco,CA,44
2025-10,San Francisco,CA,65
2025-11,San Francisco,CA,69
2025-12,San Francisco,CA,100
2026-01,San Francisco,CA,75
2026-02,San Francisco,CA,47
2026-03,San Francisco,CA,67
2026-04,San Francisco,CA,54
2026-05,San Francisco,CA,55
2026-06,San Francisco,CA,72
2026-07,San Francisco,CA,49
2026-08,San Francisco,CA,56
2026-09,San Francisco,CA,55
