month,cpuc_driverless_vmt,sgo_ads_crashes,sgo_serious_or_fatal_crashes,crashes_per_million_miles,serious_or_fatal_crashes_per_million_miles
2023-08,101313.49,9,0,88.833,0.0
2023-09,246832.07,8,0,32.411,0.0
2023-10,323473.0,8,0,24.732,0.0
2023-11,340180.17,4,1,11.758,2.94
2023-12,408560.49,7,0,17.133,0.0
2024-01,426807.62,6,0,14.058,0.0
2024-02,411307.43,5,0,12.156,0.0
2024-06,1117399.53,21,0,18.794,0.0
2024-07,1439465.02,23,0,15.978,0.0
2024-08,1828841.28,26,0,14.217,0.0
2024-09,2065732.01,36,0,17.427,0.0
2024-10,2565470.1,39,1,15.202,0.39
2024-11,3068577.36,49,0,15.968,0.0
2024-12,3325573.16,57,0,17.14,0.0
2025-01,3481697.93,46,1,13.212,0.287
2025-02,3485921.73,45,0,12.909,0.0
2025-03,4265981.5,53,0,12.424,0.0
2025-04,4784485.32,59,0,12.332,0.0
2025-05,5336125.62,70,0,13.118,0.0
2025-06,3567131.71,32,0,8.971,0.0
2025-07,4875510.04,37,0,7.589,0.0
2025-08,5571862.8,36,0,6.461,0.0
2025-09,6567950.55,39,0,5.938,0.0
2025-10,7902019.29,53,0,6.707,0.0
2025-11,8414101.98,66,0,7.844,0.0
2025-12,8420126.85,56,0,6.651,0.0
2026-01,9092739.35,63,0,6.929,0.0
2026-02,8191719.63,47,0,5.738,0.0
2026-03,9105108.29,66,0,7.249,0.0
2026-04,9414525.13,58,0,6.161,0.0
2026-05,9704968.28,64,0,6.595,0.0
2026-06,9023791.29,61,0,6.76,0.0
