operator_tcpid,program,calendar_year,calendar_month,total_trips,total_waiting_hours,total_vmt_period1,total_vmt_period2,total_vmt_period3,total_vmt_zev,total_passengers_carried,total_passenger_miles_traveled,total_wavs_available,total_wavs_requested,total_wavs_declined_unavailable,total_wavs_fulfilled,total_vmt_all_periods
PSG0038152,driverless,2023,8,12617.0,33259.0,45924.76,18499.94,36888.79,101313.48,19744.0,57151.4,0.0,0.0,0.0,0.0,101313.49
PSG0038152,driverless,2023,9,38473.0,38393.0,96090.67864,45139.59,105601.8,246832.07,53957.0,145947.7746,,,,,246832.06864
PSG0038152,driverless,2023,10,56499.0,33349.0,100879.7086,67430.42,155162.87,323473.0,74847.0,201603.6552,,,,,323472.9986
PSG0038152,driverless,2023,11,56905.0,43846.0,123753.6947,63777.02,152649.46,340180.17,74789.0,196713.7014,,,,,340180.1747
PSG0038152,driverless,2023,12,72595.0,44540.0,130595.95,81280.37,196684.17,408560.49,99400.0,262946.31,0.0,0.0,0.0,0.0,408560.49
PSG0038152,driverless,2024,1,77242.0,49512.0,137020.95,82921.72,206864.95,426807.62,98240.0,258334.47,0.0,0.0,0.0,0.0,426807.62
PSG0038152,driverless,2024,2,74233.0,39799.0,118307.37,87047.73,205952.33,411307.43,94672.0,258744.87,0.0,0.0,0.0,0.0,411307.43
PSG0038152,driverless,2024,6,188847.0,116740.0,424530.89,169059.05,523809.59,1117399.53,291644.0,799159.95,0.0,0.0,0.0,0.0,1117399.53
PSG0038152,driverless,2024,7,250752.0,138129.0,546915.07,206038.6,686511.35,1439465.02,406590.0,1094853.07,0.0,0.0,0.0,0.0,1439465.02
PSG0038152,driverless,2024,8,312245.0,164283.0,658598.23,272304.22,897938.83,1828841.27,499170.0,1397778.78,0.0,0.0,0.0,0.0,1828841.2799999998
PSG0038152,driverless,2024,9,354124.0,174690.0,703066.31,313213.03,1049452.67,2065732.01,536341.0,1553085.25,0.0,0.0,0.0,0.0,2065732.01
PSG0038152,driverless,2024,10,453478.0,213276.0,837887.47,372677.49,1354905.14,2565470.1,670919.0,1944253.5,0.0,0.0,0.0,0.0,2565470.0999999996
PSG0038152,driverless,2024,11,503634.0,224731.0,1163940.06,400756.94,1503880.36,3068577.37,746677.0,2166484.32,0.0,0.0,0.0,0.0,3068577.3600000003
PSG0038152,driverless,2024,12,541378.0,239604.0,1261100.94,428311.59,1636160.63,3325573.15,814602.0,2362096.18,0.0,0.0,0.0,0.0,3325573.1599999997
PSG0038152,driverless,2025,1,550457.0,279573.0,1430498.32,416489.71,1634709.9,3481697.93,783182.0,2231928.07,0.0,0.0,0.0,0.0,3481697.93
PSG0038152,driverless,2025,2,559569.0,253760.0,1326808.24,418558.69,1740554.8,3485921.73,779358.0,2330378.29,0.0,0.0,0.0,0.0,3485921.73
PSG0038152,driverless,2025,3,708180.0,304645.0,1466872.84,541715.75,2257392.91,4265981.5,1023028.0,3124275.36,0.0,0.0,0.0,0.0,4265981.5
PSG0038152,driverless,2025,4,776058.0,259220.0,1625253.1,614311.15,2544921.07,4784485.31,1118391.0,3496133.67,0.0,0.0,0.0,0.0,4784485.32
PSG0038152,driverless,2025,5,875592.0,268825.0,1639516.28,727848.72,2968760.62,5336125.61,1260448.0,4076772.83,0.0,0.0,0.0,0.0,5336125.62
PSG0038152,driverless,2025,6,583262.0,186486.0,1002305.79,542180.05,2022645.87,3567131.71,828029.0,2744999.7,0.0,0.0,0.0,0.0,3567131.71
PSG0038152,driverless,2025,7,778812.0,248368.0,1401926.61,737279.32,2736304.11,4875510.04,1122471.0,3745570.14,0.0,0.0,0.0,0.0,4875510.04
PSG0038152,driverless,2025,8,880643.0,256988.0,1530887.64,872475.66,3168499.5,5571862.8,1265004.0,4353131.83,0.0,0.0,0.0,0.0,5571862.8
PSG0038152,driverless,2025,9,1016546.0,299766.0,1959565.56,948147.3,3660237.69,6567950.54,1369203.0,4754773.57,0.0,0.0,0.0,0.0,6567950.55
PSG0038152,driverless,2025,10,1217872.0,346855.0,2384235.06,1083887.13,4433897.1,7902019.29,1600676.0,5626316.38,0.0,0.0,0.0,0.0,7902019.289999999
PSG0038152,driverless,2025,11,1273473.0,377796.0,2632990.33,1081599.85,4699511.8,8414101.98,1650645.0,5874708.6,0.0,0.0,0.0,0.0,8414101.98
PSG0038152,driverless,2025,12,1257187.0,394630.0,2612245.17,1044598.13,4763283.55,8420126.85,1601574.0,5841706.52,0.0,0.0,0.0,0.0,8420126.85
