company,state,market,lat,lon,phase,activity_type,evidence_status,status,mode,geometry_basis,source_url,source_date,verification_status,note
Aurora,AZ,El Paso–Phoenix,32.5,-108.5,deployment,deployment,current,driverless_commercial,freight,route_corridor,https://ir.aurora.tech/news-events/press-releases/detail/132/aurora-triples-driverless-network-to-10-routes-and-prepares-to-expand-across-u-s-sun-belt,2026-09-22,source_verified_current,Aurora identifies El Paso–Phoenix as part of its driverless freight network.
Aurora,AZ,Fort Worth–Phoenix,33,-109,deployment,deployment,current,driverless_commercial,freight,route_corridor,https://ir.aurora.tech/sec-filings/all-sec-filings/content/0001828108-26-000075/aurora26q2shareholderlet.htm,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
Aurora,OK,Dallas–Oklahoma City,34,-97.3,testing,testing,current,supervised_autonomous_operations,freight,route_corridor,https://ir.aurora.tech/news-events/press-releases/detail/139/aurora-announces-first-quarter-2026-results,2026-09-22,source_verified_current,Aurora reports supervised autonomous operations on Dallas–Oklahoma City ahead of driverless validation.
Aurora,TX,Dallas–Houston,31.1,-96.05,deployment,deployment,current,driverless_commercial,freight,route_corridor,https://ir.aurora.tech/sec-filings/all-sec-filings/content/0001828108-26-000075/aurora26q2shareholderlet.htm,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
Aurora,TX,Dallas–Laredo,30.3,-98.5,deployment,deployment,current,driverless_commercial,freight,route_corridor,https://ir.aurora.tech/sec-filings/all-sec-filings/content/0001828108-26-000075/aurora26q2shareholderlet.htm,2026-09-22,verified_current_market,Current market/status verified; exact current ODD boundary may be narrower than the market label.
Aurora,TX,Fort Worth–El Paso,31.3,-101,deployment,deployment,current,driverless_commercial,freight,route_corridor,https://ir.aurora.tech/news-events/press-releases/detail/132/aurora-triples-driverless-network-to-10-routes-and-prepares-to-expand-across-u-s-sun-belt,2026-09-22,source_verified_current,Aurora identifies Fort Worth–El Paso as part of its driverless freight network.
AutoMo USA LLC,CA,San Francisco + Sunnyvale approved driverless-test ODD,,,testing,testing,current,driverless_testing_authorized,passenger,official_regulator_location_description,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-testing-permit-holders/,2026-09-22,regulator_verified_current,"DMV lists specified San Francisco neighborhoods and Sunnyvale north of El Camino Real, with distinct speed/time limits."
Avride,TX,Dallas,32.7767,-96.797,deployment,deployment,current,commercial_autonomous_service,ridehail,city_point_only,https://www.uber.com/us/en/r/autonomous/dallas-tx-us/,2026-09-22,verified_current_market,Avride says it launched an autonomous taxi service in Dallas. Supervision is not inferred where the cited source does not specify it.
Beep,CA,San Ramon,37.7799,-121.978,deployment,deployment,current,public_service,shuttle,route_description_only,https://ridebeep.com/locations/san-ramon-ca,2026-09-22,source_verified_current,"Beep's Presto service operates a four-stop autonomous shuttle route at Bishop Ranch connecting the San Ramon Transit Center, City Center, and corporate offices."
Beep,FL,Altamonte Springs,28.6611,-81.3656,deployment,deployment,current,public_service,shuttle,route_description_only,https://www.ridebeep.com/locations/altamonte-springs-fl,2026-09-22,verified_current_market,CraneRIDES autonomous shuttle service is in Phase 2.
