id,level,jurisdiction,title,summary,takeaway,instrument,status,date,source_url,verified_at,fmvss,scope,effective_date,proposal_date,proposal_url,comment_deadline,comment_extension_url,rulemaking_id,added_in_final
fmvss-2018-rfc,federal,US,FMVSS barrier review,NHTSA requested public comment on standards that might impede certification or testing of ADS vehicles without human driving controls. This request did not amend a standard.,NHTSA requested public comment on standards that might impede certification or testing of ADS vehicles without human driving controls,FMVSS rulemaking,request_for_comment,2018-01-18,https://www.federalregister.gov/documents/2018/01/18/2018-00671/removing-regulatory-barriers-for-vehicles-with-automated-driving-systems,2026-09-23,[],,,,,,,,
fmvss-2019-anprm,federal,US,Removing regulatory barriers for ADS vehicles,Advanced notice sought input on adapting crash avoidance standards for vehicles without traditional manual controls; it did not change an FMVSS.,Advanced notice sought input on adapting crash avoidance standards for vehicles without traditional manual controls; it did not change an FMVSS,FMVSS rulemaking,advance_notice,2019-05-28,https://www.federalregister.gov/documents/2019/05/28/2019-11032/removing-regulatory-barriers-for-vehicles-with-automated-driving-systems,2026-09-23,[],,,,,,,,
fmvss-2020-nprm,federal,US,Occupant protection proposal,Proposed adapting 11 numbered crash protection standards for ADS vehicles without conventional driving controls; the final rule later added changes to 212 and 219.,Proposed adapting 11 numbered crash protection standards for ADS vehicles without conventional driving controls; the final rule later added changes to 212 and 219,FMVSS rulemaking,superseded_by_final,2020-03-30,https://www.federalregister.gov/d/2020-05886,2026-09-23,"[""201"",""203"",""204"",""205"",""206"",""207"",""208"",""214"",""216a"",""225"",""226""]",ADS-specific,,,,,,,
fmvss-2022-final,federal,US,Occupant protection final rule,"Amended 13 numbered standards for ADS vehicles without traditional manual driving controls, including FMVSS 204's exclusion for vehicles without steering controls. This addresses vehicle crash protection, not ADS driving performance.","Amended 13 numbered standards for ADS vehicles without traditional manual driving controls, including FMVSS 204's exclusion for vehicles without steering controls",FMVSS rulemaking,effective,2022-03-30,https://www.federalregister.gov/d/2022-05426,2026-09-23,"[""201"",""203"",""204"",""205"",""206"",""207"",""208"",""212"",""214"",""216a"",""219"",""225"",""226""]",ADS-specific,2022-09-26,2020-03-30,https://www.federalregister.gov/d/2020-05886,,,,
fmvss-204-2026,federal,US,Steering control rearward displacement · FMVSS 204,"A separate, generally applicable rule excludes vehicles certified to FMVSS 208 frontal barrier crash protection from FMVSS 204's steering column rearward displacement requirements and removes obsolete text. It is relevant to AV design but is not an ADS-specific rule.",Exempts FMVSS 208-certified vehicles from the steering-column displacement test,FMVSS rulemaking,effective,2026-06-03,https://www.federalregister.gov/d/2026-11080,2026-09-23,"[""204""]",related vehicle design,2026-07-06,2025-05-30,https://www.federalregister.gov/d/2025-09738,,,,
fmvss-102-2026,federal,US,Transmission displays · FMVSS 102,Proposed changes to requirements written around human-operated transmission controls in ADS-equipped vehicles.,Would adapt transmission-display rules for vehicles without manual controls,FMVSS rulemaking,under_review,2026-03-16,https://www.federalregister.gov/d/2026-05024,2026-09-23,"[""102""]",,,,,2026-04-15,,,
fmvss-103-104-2026,federal,US,Defrosting and windshield wiping · FMVSS 103/104,Proposed changes to defrosting and wiping requirements for ADS vehicles without conventional driver controls.,Would adapt defrosting and wiper rules for driverless designs,FMVSS rulemaking,under_review,2026-03-16,https://www.federalregister.gov/d/2026-05023,2026-09-23,"[""103"",""104""]",,,,,2026-04-15,,,
fmvss-110-2026,federal,US,Tire placards · FMVSS 110,Proposed adapting tire information placard requirements to ADS-equipped vehicle designs.,Would adapt tire-information placards for ADS vehicle designs,FMVSS rulemaking,under_review,2026-04-01,https://www.federalregister.gov/d/2026-06254,2026-09-23,"[""110""]",,,,,2026-05-01,,,
fmvss-135-2026,federal,US,Brake controls · FMVSS 135,Proposed removing the manual brake pedal requirement for vehicles designed exclusively for ADS operation while retaining braking performance requirements.,Would remove the brake-pedal requirement for ADS-only vehicles; braking standards remain,FMVSS rulemaking,under_review,2026-06-26,https://www.federalregister.gov/d/2026-12981,2026-09-23,"[""135""]",,,,,2026-08-26,https://www.federalregister.gov/d/2026-15231,,
fmvss-201-2022,federal,US,FMVSS 201 · Interior impact,Revised interior impact applicability and test references for vehicles without a conventional driver's seating position.,Adapts interior-impact tests for vehicles without a driver seat,FMVSS rulemaking,effective,2022-03-30,https://www.federalregister.gov/d/2022-05426,2026-09-23,"[""201""]",ADS-specific,2022-09-26,,https://www.federalregister.gov/d/2020-05886,,,fmvss-2022-final,
