report_id,report_version,same_incident_id,incident_date,air_bag_deployment,subject_air_bag,crash_partner_air_bag,source_url,narrative_available
10003-2932,1,d7397a577eefe45,NOV-2021,Unknown,No,,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv,Yes
10003-3210,1,59d489f93e681d4,APR-2022,Unknown,No,,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv,Yes
12381-3438,2,3e2bdafd3d96829,JUL-2022,No Deployment Reported,No,Not Applicable,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv,Yes
12381-3557,1,66ee1d58acd3680,JUL-2022,No Deployment Reported,No,Not Applicable,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv,Yes
12381-6889,1,df4cd7fa084bc3e,DEC-2023,Unknown,No,,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv,Yes
1306-1065,1,d0d33333ba895d5,JUL-2021,No Deployment Reported,No,No,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv,Yes
1306-1247,1,558988ec035939d,AUG-2021,No Deployment Reported,No,Not Applicable,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv,Yes
1306-3355,1,3b95fade2333295,MAY-2022,No Deployment Reported,No,No,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv,Yes
1306-4010,1,7fb8af01e45e543,AUG-2022,No Deployment Reported,No,No,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv,Yes
1306-4235,1,379fa369488a397,SEP-2022,No Deployment Reported,No,No,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv,Yes
1306-4389,2,03ad388e6676c05,NOV-2022,Unknown,No,,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv,Yes
1306-4390,2,efaea9d26730376,DEC-2022,No Deployment Reported,No,Not Applicable,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv,Yes
13781-11375,4,b5d3e7bb23a3388,JUL-2025,No Deployment Reported,,,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv,Yes
13781-11459,3,8578fbc6ef74c60,JUL-2025,No Deployment Reported,,,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv,Yes
13781-11507,2,346e79b6abcc2ca,JUL-2025,Unknown,,,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv,Yes
13781-11687,3,b0fa162bedc9a52,SEP-2025,No Deployment Reported,,,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv,Yes
13781-11784,2,4b65528edef2a8b,SEP-2025,No Deployment Reported,,,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv,Yes
13781-11786,2,8b9aea2036d8f50,SEP-2025,No Deployment Reported,,,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv,Yes
13781-11787,2,5f024177734a30d,SEP-2025,No Deployment Reported,,,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv,Yes
13781-11986,3,6fc6e04c8d8c904,OCT-2025,No Deployment Reported,,,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv,Yes
13781-13237,2,f948905f2385492,NOV-2025,No Deployment Reported,,,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv,Yes
13781-13644,2,c3b19262bad7d45,JAN-2026,No Deployment Reported,,,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv,Yes
13781-13645,2,660518e401e4ddd,JAN-2026,No Deployment Reported,,,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv,Yes
13781-13646,2,5c44d0a835f6e52,JAN-2026,No Deployment Reported,,,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv,Yes
13781-13647,2,024e0e877f8e0b4,DEC-2025,No Deployment Reported,,,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv,Yes
13781-13648,2,623901f9f7d705f,JAN-2026,No Deployment Reported,,,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv,Yes
13781-14043,2,6195eac6d664ead,JAN-2026,No Deployment Reported,,,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv,Yes
13781-14630,1,cbea5023d86487b,MAR-2026,No Deployment Reported,,,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv,Yes
13781-14631,1,239e75e81c5fdea,MAR-2026,No Deployment Reported,,,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv,Yes
13781-15017,1,63062a109838ba2,APR-2026,No Deployment Reported,,,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv,Yes
13781-15342,1,5586a2747f69b63,JUN-2026,No Deployment Reported,,,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv,Yes
13781-15395,1,c20a375501ff8b5,MAY-2026,No Deployment Reported,,,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv,Yes
