year,month,reporting_entity,incident_count
2021,5,Transdev Alternative Services,1
2021,7,Cruise LLC,1
2021,7,May Mobility,1
2021,7,Toyota Motor Engineering & Manufacturing,1
2021,8,Argo AI,2
2021,8,May Mobility,2
2021,8,Toyota Motor Engineering & Manufacturing,1
2021,8,Transdev Alternative Services,5
2021,8,Waymo LLC,3
2021,8,WeRide Corp,1
2021,8,"Zoox, Inc.",3
2021,9,Apple Inc.,1
2021,9,Argo AI,1
2021,9,"Beep, Inc.",1
2021,9,Local Motors Industries,1
2021,9,Robotic Research,1
2021,9,Transdev Alternative Services,8
2021,9,Waymo LLC,5
2021,9,"Zoox, Inc.",1
2021,10,Cruise LLC,1
2021,10,Easymile Inc.,2
2021,10,Transdev Alternative Services,4
2021,10,Waymo LLC,5
2021,10,"Zoox, Inc.",2
2021,11,Argo AI,1
2021,11,Cruise LLC,1
2021,11,Ford Motor Company,1
2021,11,Pony.ai,1
2021,11,Transdev Alternative Services,4
2021,11,Waymo LLC,4
2021,11,WeRide Corp,1
2021,12,Cruise LLC,4
2021,12,"General Motors, LLC",4
2021,12,Hyundai Motor America,1
2021,12,Transdev Alternative Services,2
2021,12,Waymo LLC,2
2021,12,"Zoox, Inc.",1
2022,1,Waymo LLC,4
2022,1,"Zoox, Inc.",1
2022,2,"General Motors, LLC",1
2022,2,Waymo LLC,6
2022,2,"Zoox, Inc.",1
2022,3,Argo AI,1
2022,3,Ford Motor Company,1
2022,3,Waymo LLC,3
2022,4,Argo AI,1
2022,4,Cruise LLC,5
2022,4,Ford Motor Company,1
2022,4,"General Motors, LLC",5
2022,4,Pony.ai,1
2022,4,TuSimple,1
2022,4,Waymo LLC,3
2022,4,"Zoox, Inc.",2
2022,5,Argo AI,1
2022,5,"Beep, Inc.",1
2022,5,Cruise LLC,2
2022,5,Ford Motor Company,1
2022,5,"General Motors, LLC",1
2022,5,May Mobility,1
2022,5,Motional,1
2022,5,"Navistar, Inc.",1
2022,5,Pony.ai,1
2022,5,Transdev Alternative Services,2
2022,5,Waymo LLC,3
2022,6,Apple Inc.,1
2022,6,Argo AI,2
2022,6,Cruise LLC,1
2022,6,Ford Motor Company,2
2022,6,"Navistar, Inc.",1
2022,6,Pony.ai,1
2022,6,Transdev Alternative Services,2
2022,6,Waymo LLC,2
2022,7,Cruise LLC,4
2022,7,"Daimler Trucks North America, LLC",1
2022,7,"General Motors, LLC",4
2022,7,Toyota Motor Engineering & Manufacturing,1
2022,7,Transdev Alternative Services,6
2022,7,Waymo LLC,6
2022,7,"Zoox, Inc.",1
2022,8,Argo AI,2
2022,8,Cruise LLC,2
2022,8,Easymile Inc.,1
2022,8,First Transit,1
2022,8,Ford Motor Company,2
2022,8,"General Motors, LLC",2
2022,8,Kodiak Robotics,1
2022,8,May Mobility,1
2022,8,PACCAR Incorporated,1
2022,8,"TORC Robotics, Inc.",1
2022,8,Transdev Alternative Services,7
2022,8,Waymo LLC,9
2022,8,"Zoox, Inc.",1
2022,9,Argo AI,1
2022,9,Ford Motor Company,1
2022,9,May Mobility,1
2022,9,Toyota Motor Engineering & Manufacturing,1
2022,9,Transdev Alternative Services,4
2022,9,Waymo LLC,4
2022,10,Argo AI,2
2022,10,Ford Motor Company,2
2022,10,Toyota Motor Engineering & Manufacturing,1
2022,10,Transdev Alternative Services,1
2022,10,Waymo LLC,1
2022,11,"Aurora Operations, Inc.",1
2022,11,Transdev Alternative Services,2
2022,11,Waymo LLC,3
2022,11,"Zoox, Inc.",2
2022,12,"Beep, Inc.",1
2022,12,Cruise LLC,2
2022,12,"General Motors, LLC",2
2022,12,"Mercedes-Benz USA, LLC",1
