year,month,program_type,incident_count
2021,5,commercial,1
2021,7,commercial,2
2021,7,testing,1
2021,8,commercial,11
2021,8,testing,6
2021,9,commercial,14
2021,9,testing,5
2021,10,commercial,10
2021,10,testing,4
2021,11,commercial,11
2021,11,testing,2
2021,12,commercial,8
2021,12,testing,6
2022,1,commercial,4
2022,1,testing,1
2022,2,commercial,6
2022,2,testing,2
2022,3,commercial,3
2022,3,testing,2
2022,4,commercial,9
2022,4,testing,10
2022,5,commercial,10
2022,5,testing,5
2022,6,commercial,6
2022,6,testing,6
2022,7,commercial,16
2022,7,testing,7
2022,8,commercial,21
2022,8,testing,10
2022,9,commercial,9
2022,9,testing,3
2022,10,commercial,2
2022,10,testing,5
2022,11,commercial,6
2022,11,testing,2
2022,12,commercial,12
2022,12,testing,7
2023,1,commercial,6
2023,1,testing,2
2023,2,commercial,7
2023,2,testing,5
2023,3,commercial,22
2023,3,testing,5
2023,4,commercial,15
2023,4,testing,7
2023,5,commercial,15
2023,5,testing,5
2023,6,commercial,14
2023,6,testing,8
2023,7,commercial,17
2023,7,testing,8
2023,8,commercial,32
2023,8,testing,14
2023,9,commercial,19
2023,9,testing,10
2023,10,commercial,21
2023,10,testing,12
2023,11,commercial,10
2023,12,commercial,14
2023,12,testing,3
2024,1,commercial,9
2024,1,testing,6
2024,2,commercial,10
2024,2,testing,4
2024,3,commercial,21
2024,3,testing,6
2024,4,commercial,12
2024,4,testing,2
2024,5,commercial,19
2024,5,testing,3
2024,6,commercial,27
2024,6,testing,4
2024,7,commercial,22
2024,7,testing,6
2024,8,commercial,31
2024,8,testing,1
2024,9,commercial,40
2024,9,testing,5
2024,10,commercial,40
2024,10,testing,5
2024,11,commercial,46
2024,11,testing,8
2024,12,commercial,58
2024,12,testing,4
2025,1,commercial,48
2025,1,testing,5
2025,2,commercial,43
2025,2,testing,13
2025,3,commercial,52
2025,3,testing,6
2025,4,commercial,64
2025,4,testing,2
2025,5,commercial,62
2025,5,testing,6
2025,6,commercial,38
2025,6,testing,5
2025,7,commercial,33
2025,7,testing,4
2025,8,commercial,24
2025,8,testing,3
2025,9,commercial,27
2025,9,testing,5
2025,10,commercial,33
2025,10,testing,6
2025,11,commercial,47
2025,11,testing,7
2025,12,commercial,42
2025,12,testing,9
2026,1,commercial,34
2026,1,testing,6
2026,2,commercial,37
2026,2,testing,12
2026,3,commercial,45
2026,3,testing,11
2026,4,commercial,45
2026,4,testing,14
2026,5,commercial,62
2026,5,testing,10
2026,6,commercial,49
2026,6,testing,11
2026,7,commercial,42
2026,7,testing,7
2026,8,commercial,4
2026,8,testing,1
