year,month,state,incident_count
2021,5,CA,1
2021,7,CA,1
2021,7,IN,2
2021,8,CA,9
2021,8,FL,1
2021,8,IN,2
2021,8,MI,1
2021,8,NV,3
2021,8,TX,1
2021,9,AZ,3
2021,9,CA,12
2021,9,FL,1
2021,9,WY,3
2021,10,AZ,1
2021,10,CA,11
2021,10,CO,2
2021,11,AZ,2
2021,11,CA,11
2021,12,CA,13
2021,12,NV,1
2022,1,CA,5
2022,2,CA,8
2022,3,AZ,1
2022,3,CA,2
2022,3,DC,2
2022,4,AZ,2
2022,4,CA,15
2022,4,FL,2
2022,5,CA,9
2022,5,DC,2
2022,5,FL,1
2022,5,NV,1
2022,5,PA,1
2022,5,TX,1
2022,6,AZ,1
2022,6,CA,7
2022,6,FL,2
2022,6,PA,2
2022,7,AZ,2
2022,7,CA,19
2022,7,NM,1
2022,7,TX,1
2022,8,AZ,7
2022,8,CA,12
2022,8,FL,4
2022,8,MN,2
2022,8,NM,1
2022,8,TX,5
2022,9,AZ,1
2022,9,CA,6
2022,9,FL,2
2022,9,TX,3
2022,10,AZ,1
2022,10,CA,2
2022,10,TX,4
2022,11,AZ,1
2022,11,CA,6
2022,11,TX,1
2022,12,AZ,2
2022,12,CA,15
2022,12,FL,1
2022,12,NV,1
2023,1,AZ,2
2023,1,CA,3
2023,1,GA,1
2023,1,NV,2
2023,2,AZ,2
2023,2,CA,7
2023,2,NV,1
2023,2,TX,2
2023,3,AZ,5
2023,3,CA,21
2023,3,TX,1
2023,4,AZ,4
2023,4,CA,14
2023,4,MI,1
2023,4,NV,1
2023,4,TX,2
2023,5,AZ,6
2023,5,CA,6
2023,5,TX,8
2023,6,AZ,2
2023,6,CA,17
2023,6,NV,1
2023,6,TX,2
2023,7,AZ,1
2023,7,CA,20
2023,7,MN,1
2023,7,NV,1
2023,7,TX,2
2023,8,AZ,3
2023,8,CA,36
2023,8,FL,1
2023,8,TX,6
2023,9,AZ,4
2023,9,CA,17
2023,9,TX,8
2023,10,AZ,2
2023,10,CA,21
2023,10,MN,1
2023,10,TX,8
2023,10,WA,1
2023,11,AZ,2
2023,11,CA,5
2023,11,FL,1
2023,11,TX,2
2023,12,AZ,7
2023,12,CA,6
2023,12,TX,4
2024,1,AZ,6
2024,1,CA,8
2024,1,NV,1
2024,2,AZ,4
2024,2,CA,6
2024,2,MI,1
2024,2,NV,1
2024,2,TX,2
2024,3,AZ,9
2024,3,CA,12
2024,3,NV,3
2024,3,TX,3
2024,4,AZ,2
2024,4,CA,8
2024,4,FL,1
2024,4,NV,1
2024,4,TX,2
2024,5,AZ,7
2024,5,CA,10
2024,5,FL,1
2024,5,TX,4
2024,6,AZ,6
2024,6,CA,18
2024,6,FL,2
2024,6,TX,5
2024,7,AZ,4
2024,7,CA,19
2024,7,FL,2
2024,7,TX,3
2024,8,AZ,11
2024,8,CA,20
2024,8,NV,1
2024,9,AZ,10
2024,9,CA,24
2024,9,GA,1
2024,9,NV,1
2024,9,TX,9
2024,10,AZ,11
2024,10,CA,24
2024,10,MS,1
2024,10,NV,2
2024,10,TX,6
2024,10,WA,1
2024,11,AZ,9
2024,11,CA,35
2024,11,TX,10
2024,12,AZ,14
2024,12,CA,40
2024,12,GA,2
2024,12,TX,6
2025,1,AZ,14
2025,1,CA,32
2025,1,GA,1
2025,1,MI,1
2025,1,NV,3
2025,1,TX,2
2025,2,AZ,10
2025,2,CA,29
2025,2,GA,2
2025,2,NV,8
2025,2,OK,2
2025,2,TX,5
2025,3,AZ,4
2025,3,CA,43
2025,3,NV,3
2025,3,TX,8
2025,4,AZ,10
2025,4,CA,46
2025,4,GA,2
2025,4,MI,2
2025,4,TX,6
2025,5,AZ,7
2025,5,CA,50
2025,5,DC,1
2025,5,GA,3
2025,5,NV,1
2025,5,TX,6
2025,6,AZ,10
2025,6,CA,21
2025,6,FL,3
2025,6,GA,2
2025,6,TX,6
2025,6,Unknown,1
2025,7,AZ,6
2025,7,CA,22
2025,7,FL,1
2025,7,GA,2
2025,7,NV,2
2025,7,TX,4
2025,8,AZ,7
2025,8,CA,17
2025,8,GA,1
2025,8,MN,1
2025,8,TX,1
2025,9,AZ,2
2025,9,CA,18
2025,9,FL,2
2025,9,NV,1
2025,9,PA,1
2025,9,TX,8
2025,10,AZ,5
2025,10,CA,22
2025,10,DC,1
2025,10,GA,1
2025,10,NV,3
2025,10,TX,7
2025,11,AZ,5
2025,11,CA,28
2025,11,FL,2
2025,11,GA,8
2025,11,MN,1
2025,11,NV,1
2025,11,PA,1
2025,11,TX,8
2025,12,AZ,7
2025,12,CA,25
2025,12,DC,1
2025,12,FL,2
2025,12,GA,4
2025,12,TX,12
2026,1,AZ,7
2026,1,CA,23
2026,1,CO,1
2026,1,DC,1
2026,1,FL,1
2026,1,TX,7
2026,2,AZ,5
2026,2,CA,24
2026,2,FL,1
2026,2,GA,1
2026,2,NV,4
2026,2,TN,1
2026,2,TX,13
2026,3,AZ,1
2026,3,CA,36
2026,3,DC,1
2026,3,GA,2
2026,3,NV,1
2026,3,TX,15
2026,4,AZ,3
2026,4,CA,23
2026,4,FL,3
2026,4,GA,6
2026,4,NV,3
2026,4,TN,1
2026,4,TX,20
2026,5,AZ,7
2026,5,CA,32
2026,5,FL,4
2026,5,GA,5
2026,5,NM,1
2026,5,NV,1
2026,5,TN,2
2026,5,TX,20
2026,6,AZ,10
2026,6,CA,25
2026,6,CO,1
2026,6,FL,2
2026,6,GA,3
2026,6,NV,2
2026,6,TX,17
2026,7,AR,1
2026,7,AZ,3
2026,7,CA,21
2026,7,CO,1
2026,7,GA,3
2026,7,NV,1
2026,7,PA,1
2026,7,TN,1
2026,7,TX,17
2026,8,CA,1
2026,8,GA,1
2026,8,NM,1
2026,8,TX,2
