year,month,vehicle_class,incident_count
2021,5,light_duty,1
2021,7,light_duty,3
2021,8,light_duty,17
2021,9,light_duty,19
2021,10,light_duty,14
2021,11,light_duty,13
2021,12,light_duty,14
2022,1,light_duty,5
2022,2,light_duty,8
2022,3,light_duty,5
2022,4,light_duty,18
2022,4,trucking,1
2022,5,light_duty,14
2022,5,trucking,1
2022,6,light_duty,11
2022,6,trucking,1
2022,7,light_duty,22
2022,7,trucking,1
2022,8,light_duty,28
2022,8,trucking,3
2022,9,light_duty,12
2022,10,light_duty,7
2022,11,light_duty,7
2022,11,trucking,1
2022,12,light_duty,19
2023,1,light_duty,8
2023,2,light_duty,10
2023,2,trucking,2
2023,3,light_duty,27
2023,4,light_duty,20
2023,4,trucking,2
2023,5,light_duty,20
2023,6,light_duty,22
2023,7,light_duty,25
2023,8,light_duty,45
2023,8,trucking,1
2023,9,light_duty,29
2023,10,light_duty,31
2023,10,trucking,2
2023,11,light_duty,10
2023,12,light_duty,13
2023,12,trucking,4
2024,1,light_duty,15
2024,2,light_duty,13
2024,2,trucking,1
2024,3,light_duty,26
2024,3,trucking,1
2024,4,light_duty,12
2024,4,trucking,2
2024,5,light_duty,20
2024,5,trucking,2
2024,6,light_duty,27
2024,6,trucking,4
2024,7,light_duty,26
2024,7,trucking,2
2024,8,light_duty,32
2024,9,light_duty,38
2024,9,trucking,7
2024,10,light_duty,43
2024,10,trucking,2
2024,11,light_duty,51
2024,11,trucking,3
2024,12,light_duty,62
2025,1,light_duty,53
2025,2,light_duty,52
2025,2,trucking,4
2025,3,light_duty,56
2025,3,trucking,2
2025,4,light_duty,66
2025,5,light_duty,66
2025,5,trucking,2
2025,6,light_duty,43
2025,7,light_duty,37
2025,8,light_duty,27
2025,9,light_duty,30
2025,9,trucking,2
2025,10,light_duty,38
2025,10,trucking,1
2025,11,light_duty,53
2025,11,trucking,1
2025,12,light_duty,51
2026,1,light_duty,40
2026,2,light_duty,48
2026,2,trucking,1
2026,3,light_duty,56
2026,4,light_duty,59
2026,5,light_duty,69
2026,5,trucking,3
2026,6,light_duty,60
2026,7,light_duty,48
2026,7,trucking,1
2026,8,light_duty,4
2026,8,trucking,1
