year,month,incident_count
2021,5,1
2021,7,3
2021,8,17
2021,9,19
2021,10,14
2021,11,13
2021,12,14
2022,1,5
2022,2,8
2022,3,5
2022,4,19
2022,5,15
2022,6,12
2022,7,23
2022,8,31
2022,9,12
2022,10,7
2022,11,8
2022,12,19
2023,1,8
2023,2,12
2023,3,27
2023,4,22
2023,5,20
2023,6,22
2023,7,25
2023,8,46
2023,9,29
2023,10,33
2023,11,10
2023,12,17
2024,1,15
2024,2,14
2024,3,27
2024,4,14
2024,5,22
2024,6,31
2024,7,28
2024,8,32
2024,9,45
2024,10,45
2024,11,54
2024,12,62
2025,1,53
2025,2,56
2025,3,58
2025,4,66
2025,5,68
2025,6,43
2025,7,37
2025,8,27
2025,9,32
2025,10,39
2025,11,54
2025,12,51
2026,1,40
2026,2,49
2026,3,56
2026,4,59
2026,5,72
2026,6,60
2026,7,49
2026,8,5
