incident_key,incident_date,city,state,reporting_entities,report_ids,severity,make,model,crash_with,roadway_type,engagement_status,air_bag_deployment,source_url
4c6d6b79d0d8974,AUG-2026,Dallas,TX,Waymo LLC,30270-16196,Fatality,JAGUAR,I-PACE,Non-Motorist: Pedestrian,Street,ADS,No Deployment Reported,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv
e1bccc94686b59d,JUL-2026,Los Angeles,CA,Waymo LLC,30270-16028,Serious W/ Hospitalization,JAGUAR,I-PACE,Passenger Car,Street,ADS,Deployed,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv
beee66377373c78,JUL-2026,Miami Beach,FL,Waymo LLC,30270-15830,Serious W/ Hospitalization,JAGUAR,I-PACE,Non-Motorist: Cyclist,Street,ADS,No Deployment Reported,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv
38f1727a6756069,JUL-2026,Las Vegas,NV,Waymo LLC,30270-15896,Serious W/ Hospitalization,ZEEKR,RT,SUV,Street,ADS,Deployed,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv
6dd15b832c8ed48,JUN-2026,Scottsdale,AZ,Waymo LLC,30270-15547,Serious W/ Hospitalization,JAGUAR,I-PACE,SUV,Street,ADS,Deployed,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv
dc166aecd5b4265,SEP-2025,Tempe,AZ,Waymo LLC,30270-11713,Fatality,JAGUAR,I-PACE,Motorcycle,Street,ADS,No Deployment Reported,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/SGO-2021-01_Incident_Reports_ADS.csv
ee8bc049ffeaa52,FEB-2025,Phoenix,AZ,Waymo LLC,30270-10112,Serious,Jaguar,I-PACE,Passenger Car,Street,ADS,Deployed,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv
4409b059e33b146,JAN-2025,San Francisco,CA,Waymo LLC,30270-9724,Fatality,Jaguar,I-Pace,Passenger Car,Street,ADS,Deployed,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv
2abc9b4faef00d9,OCT-2024,San Francisco,CA,Waymo LLC,30270-8968,Serious,Jaguar,I-Pace,SUV,Street,ADS,No Deployment Reported,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv
7b74a49eb5027b6,MAY-2024,Los Angeles,CA,Waymo LLC,30270-7681,Serious,Jaguar,I-Pace,Passenger Car,Highway / Freeway,ADS,Deployed,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv
2c723ba2d4b98e0,NOV-2023,San Francisco,CA,Waymo LLC,30270-6579,Serious,Jaguar,I-Pace,Passenger Car,Intersection,ADS,No Deployment Reported,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv
8cb088f47f347b4,OCT-2023,San Francisco,CA,"Cruise LLC; General Motors, LLC",30412-6395; 540-6400,Serious,Cruise,AV,Non-Motorist: Pedestrian,Intersection,ADS,Unknown,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv
d8658d11ce22465,AUG-2023,San Francisco,CA,"Cruise LLC; General Motors, LLC",30412-6144; 540-6148,Serious,Cruise,AV,First Responder Vehicle,Intersection,ADS,Deployed,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv
71233f2d25b765e,MAR-2022,San Francisco,CA,"Cruise LLC; General Motors, LLC",30412-2588; 540-2590,Serious,Cruise,AV,Non-Motorist: Cyclist,Street,ADS,Unknown,https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv
