state,agency,company,permit_type_raw,permit_type_normalized,permit_id,approved_locations,source_url,captured_at,source_category
CA,California DMV,AIMOTIVE INC.,Testing with a Driver,testing_with_driver,,Any public road in California,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-testing-permit-holders/,2026-09-17,permit
CA,California DMV,AUDI OF AMERICA,Testing with a Driver,testing_with_driver,,Any public road in California,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-testing-permit-holders/,2026-09-17,permit
CA,California DMV,"AURORA OPERATIONS, INC.",Testing with a Driver,testing_with_driver,,Any public road in California,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-testing-permit-holders/,2026-09-17,permit
CA,California DMV,AutoMo USA LLC,Testing with a Driver,testing_with_driver,,Any public road in California,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-testing-permit-holders/,2026-09-17,permit
CA,California DMV,GATIK AI INC.,Testing with a Driver,testing_with_driver,,Any public road in California,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-testing-permit-holders/,2026-09-17,permit
CA,California DMV,HELM.AI INC.,Testing with a Driver,testing_with_driver,,Any public road in California,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-testing-permit-holders/,2026-09-17,permit
CA,California DMV,IMAGRY INC.,Testing with a Driver,testing_with_driver,,Any public road in California,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-testing-permit-holders/,2026-09-17,permit
CA,California DMV,KODIAK AI,Testing with a Driver,testing_with_driver,,Any public road in California,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-testing-permit-holders/,2026-09-17,permit
CA,California DMV,MAY MOBILITY,Testing with a Driver,testing_with_driver,,Any public road in California,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-testing-permit-holders/,2026-09-17,permit
CA,California DMV,MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA,Testing with a Driver,testing_with_driver,,Any public road in California,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-testing-permit-holders/,2026-09-17,permit
