manufacturer_key,display_name,company_status,status_note,states,state_count,permit_count
WAYMO,WAYMO LLC,current_or_unknown,,"[""AZ"",""CA"",""CO"",""DC"",""FL"",""GA"",""NV"",""PA"",""TN"",""TX"",""US"",""WA""]",12,24
MAY MOBILITY,MAY MOBILITY,current_or_unknown,,"[""AZ"",""CA"",""FL"",""GA"",""IN"",""MI"",""MN"",""TX"",""US""]",9,11
ARGO AI,Argo AI,historical,NHTSA lists Argo AI among removed VSSAs (no longer active).,"[""CA"",""DC"",""FL"",""PA"",""TX"",""US""]",6,6
BEEP,Beep,current_or_unknown,,"[""AZ"",""CA"",""DC"",""FL"",""MS"",""WY""]",6,6
ZOOX,ZOOX INC.,current_or_unknown,,"[""CA"",""FL"",""NV"",""TX"",""US"",""WA""]",6,11
AURORA,"AURORA OPERATIONS, INC.",current_or_unknown,,"[""AZ"",""CA"",""NM"",""TX"",""US""]",5,5
FORD MOTOR COMPANY,Ford Motor Company,current_or_unknown,,"[""CA"",""DC"",""FL"",""PA"",""TX""]",5,5
KODIAK,KODIAK AI,current_or_unknown,,"[""CA"",""OK"",""TX"",""US""]",4,4
MOTIONAL,Motional,current_or_unknown,,"[""MA"",""NV"",""PA"",""US""]",4,4
NURO,"NURO, INC.",current_or_unknown,,"[""AZ"",""CA"",""TX"",""US""]",4,8
STACK,Stack,current_or_unknown,,"[""AZ"",""NM"",""PA"",""US""]",4,4
TORC,Torc,current_or_unknown,,"[""AZ"",""NM"",""TX"",""US""]",4,4
TOYOTA MOTOR ENGINEERING & MANUFACTURING,Toyota Motor Engineering & Manufacturing,current_or_unknown,,"[""AZ"",""IN"",""MI"",""TX""]",4,4
TRANSDEV ALTERNATIVE SERVICES,Transdev Alternative Services,current_or_unknown,,"[""AZ"",""CA"",""GA"",""TX""]",4,4
CRUISE,Cruise,current_or_unknown,,"[""AZ"",""CA"",""TX""]",3,4
EASYMILE,EasyMile,current_or_unknown,,"[""CO"",""MN"",""US""]",3,3
