year,month,waymo_ca_vmt,waymo_ca_sgo_incidents,incidents_per_million_miles
2022,3,307010.1,2,6.514
2022,4,279127.6,2,7.165
2022,5,274687.1,3,10.922
2022,6,259308.5,2,7.713
2022,7,262268.1,5,19.064
2022,8,189022.6,4,21.161
2022,9,142380.9,3,21.07
2022,10,137791.9,1,7.257
2022,11,130534.8,2,15.322
2022,12,137883.9,3,21.757
2023,1,109151.1,2,18.323
2023,2,90781.6,3,33.046
2023,3,73795.4,5,67.755
2023,4,101468.3,4,39.421
2023,5,122294.1,2,16.354
2023,8,101313.5,9,88.833
2023,9,246832.1,5,20.257
2023,10,323473.0,6,18.549
2023,11,340180.2,3,8.819
2023,12,408560.5,6,14.686
2024,1,426807.6,3,7.029
2024,2,411307.4,3,7.294
2024,6,1117399.5,15,13.424
2024,7,1439465.0,14,9.726
2024,8,1828841.3,20,10.936
2024,9,2065732.0,27,13.07
2024,10,2565470.1,24,9.355
2024,11,3068577.4,34,11.08
2024,12,3325573.2,36,10.825
2025,1,3481697.9,28,8.042
2025,2,3485921.7,26,7.459
2025,3,4265981.5,42,9.845
2025,4,4784485.3,44,9.196
2025,5,5336125.6,46,8.62
2025,6,3567131.7,19,5.326
2025,7,4875510.0,20,4.102
2025,8,5571862.8,15,2.692
2025,9,6567950.6,17,2.588
2025,10,7902019.3,20,2.531
2025,11,8414102.0,28,3.328
2025,12,8420126.8,23,2.732
2026,1,9092739.3,22,2.42
2026,2,8191719.6,23,2.808
2026,3,9105108.3,33,3.624
2026,4,9414525.1,21,2.231
2026,5,9704968.3,31,3.194
2026,6,9023791.3,24,2.66
