s2_cell,market,state,counties,block_group_geoid,overlap_area_m2,block_group_area_m2,block_group_area_share,s2_area_m2,s2_area_share,acs_population,allocated_population,acs_households,allocated_households,acs_median_household_income
9739878636298698752,Phoenix,Arizona,Maricopa,040138130004,140769.45,881213.84,0.15974494,1317983.73,0.10680667,774,123.6426,283,45.2078,235268.0
9739878636298698752,Phoenix,Arizona,Maricopa,040138130003,16194.97,1546371.74,0.01047288,1317983.73,0.01228768,1831,19.1758,609,6.378,201028.0
9739878636298698752,Phoenix,Arizona,Maricopa,040138129001,413782.64,875876.46,0.47242123,1317983.73,0.31395125,1824,861.6963,739,349.1193,142740.0
9739878636298698752,Phoenix,Arizona,Maricopa,040138130001,81520.63,2563561.3,0.03179976,1317983.73,0.06185253,2265,72.0265,1041,33.1035,120922.0
9739878636298698752,Phoenix,Arizona,Maricopa,040138173001,21118.97,1924071.96,0.01097618,1317983.73,0.01602369,1738,19.0766,1116,12.2494,53516.0
9739878636298698752,Phoenix,Arizona,Maricopa,040138173003,644597.09,1704813.05,0.37810427,1317983.73,0.48907818,1923,727.0945,1131,427.6359,82386.0
9739878670658437120,Phoenix,Arizona,Maricopa,040138127004,4223.59,855525.42,0.00493684,1317685.5,0.00320531,1430,7.0597,467,2.3055,179892.0
9739878670658437120,Phoenix,Arizona,Maricopa,040138130004,626550.17,881213.84,0.71100809,1317685.5,0.47549296,774,550.3203,283,201.2153,235268.0
9739878670658437120,Phoenix,Arizona,Maricopa,040138129002,303508.6,1046166.09,0.29011512,1317685.5,0.23033463,1591,461.5732,557,161.5941,187404.0
9739878670658437120,Phoenix,Arizona,Maricopa,040138127001,102063.19,512644.27,0.19909164,1317685.5,0.07745641,1487,296.0493,596,118.6586,125333.0
9739878670658437120,Phoenix,Arizona,Maricopa,040138130003,155781.13,1546371.74,0.10073977,1317685.5,0.1182233,1831,184.4545,609,61.3505,201028.0
9739878670658437120,Phoenix,Arizona,Maricopa,040138129001,120928.7,875876.46,0.13806593,1317685.5,0.09177357,1824,251.8323,739,102.0307,142740.0
9739878670658437120,Phoenix,Arizona,Maricopa,040138126002,4630.11,1275732.16,0.00362938,1317685.5,0.00351382,1653,5.9994,687,2.4934,210008.0
9739878705018175488,Phoenix,Arizona,Maricopa,040138129002,686763.93,1046166.09,0.65645784,1317670.59,0.52119546,1591,1044.4244,557,365.647,187404.0
9739878705018175488,Phoenix,Arizona,Maricopa,040138129001,112993.15,875876.46,0.12900581,1317670.59,0.0857522,1824,235.3066,739,95.3353,142740.0
9739878705018175488,Phoenix,Arizona,Maricopa,040139805001,470356.0,3584287.02,0.13122722,1317670.59,0.35696023,0,0.0,0,0.0,
9739878705018175488,Phoenix,Arizona,Maricopa,040138126003,47557.51,950627.33,0.0500275,1317670.59,0.03609211,2278,113.9626,1117,55.8807,106205.0
9739878739377913856,Phoenix,Arizona,Maricopa,040138129001,228171.97,875876.46,0.26050703,1317968.77,0.17312396,1824,475.1648,739,192.5147,142740.0
9739878739377913856,Phoenix,Arizona,Maricopa,040138173001,593279.02,1924071.96,0.30834554,1317968.77,0.45014649,1738,535.9046,1116,344.1136,53516.0
9739878739377913856,Phoenix,Arizona,Maricopa,040138173002,116902.0,1515280.03,0.07714877,1317968.77,0.08869861,1642,126.6783,968,74.68,71146.0
9739878739377913856,Phoenix,Arizona,Maricopa,040138173003,293963.29,1704813.05,0.1724314,1317968.77,0.22304269,1923,331.5856,1131,195.0199,82386.0
9739878739377913856,Phoenix,Arizona,Maricopa,040139805001,85652.49,3584287.02,0.02389666,1317968.77,0.06498825,0,0.0,0,0.0,
9739878911176605696,Phoenix,Arizona,Maricopa,040139805001,1039550.95,3584287.02,0.29003005,1317357.28,0.78911846,0,0.0,0,0.0,
9739878911176605696,Phoenix,Arizona,Maricopa,040138126002,48550.32,1275732.16,0.03805683,1317357.28,0.03685433,1653,62.9079,687,26.145,210008.0
9739878911176605696,Phoenix,Arizona,Maricopa,040138126003,229256.02,950627.33,0.24116287,1317357.28,0.17402721,2278,549.369,1117,269.3789,106205.0
9739879014255820800,Phoenix,Arizona,Maricopa,040139805001,431256.94,3584287.02,0.12031875,1317058.96,0.32743936,0,0.0,0,0.0,
9739879014255820800,Phoenix,Arizona,Maricopa,040138122002,448025.42,2249328.81,0.19918183,1317058.96,0.34017112,1604,319.4876,675,134.4477,89515.0
9739879014255820800,Phoenix,Arizona,Maricopa,040138122004,1784.28,630675.91,0.00282916,1317058.96,0.00135475,897,2.5378,332,0.9393,187708.0
9739879014255820800,Phoenix,Arizona,Maricopa,040138126001,56285.5,1634706.38,0.03443157,1317058.96,0.04273575,2259,77.7809,960,33.0543,82188.0
9739879014255820800,Phoenix,Arizona,Maricopa,040138126003,379706.82,950627.33,0.39942763,1317058.96,0.28829903,2278,909.8961,1117,446.1607,106205.0
9739879048615559168,Phoenix,Arizona,Maricopa,040138122005,125718.14,918902.79,0.13681332,1317073.93,0.09545261,834,114.1023,350,47.8847,113475.0
9739879048615559168,Phoenix,Arizona,Maricopa,040138122002,14098.71,2249328.81,0.00626796,1317073.93,0.01070457,1604,10.0538,675,4.2309,89515.0
9739879048615559168,Phoenix,Arizona,Maricopa,040138122001,29820.81,891162.05,0.03346284,1317073.93,0.02264171,2899,97.0088,1043,34.9017,152697.0
9739879048615559168,Phoenix,Arizona,Maricopa,040138122004,528821.27,630675.91,0.83849923,1317073.93,0.40151221,897,752.1338,332,278.3817,187708.0
9739879048615559168,Phoenix,Arizona,Maricopa,040138126001,587175.77,1634706.38,0.35919342,1317073.93,0.44581838,2259,811.4179,960,344.8257,82188.0
9739879048615559168,Phoenix,Arizona,Maricopa,040138126003,31439.24,950627.33,0.0330721,1317073.93,0.02387052,2278,75.3382,1117,36.9415,106205.0
9739879082975297536,Phoenix,Arizona,Maricopa,040138129002,42051.15,1046166.09,0.04019549,1317372.32,0.03192048,1591,63.951,557,22.3889,187404.0
9739879082975297536,Phoenix,Arizona,Maricopa,040139805001,6013.37,3584287.02,0.0016777,1317372.32,0.00456467,0,0.0,0,0.0,
9739879082975297536,Phoenix,Arizona,Maricopa,040138126001,248602.17,1634706.38,0.15207757,1317372.32,0.18871064,2259,343.5432,960,145.9945,82188.0
