s2_cell,market,state,counties,estimated_population,estimated_households,household_weighted_bg_median_income,pct_white_non_hispanic,pct_black_non_hispanic,pct_asian_non_hispanic,pct_aian_non_hispanic,pct_nhpi_non_hispanic,pct_other_non_hispanic,pct_multiracial_non_hispanic,pct_hispanic,contributing_block_groups,census_overlap_share_of_s2_area
9260949341382639616,San Francisco Bay Area,California,San Francisco,1612.5,760.6,109863.0,34.92,0.49,60.65,0.02,0.0,0.03,1.67,2.22,5,1.0
9260949375742377984,San Francisco Bay Area,California,San Francisco,3603.2,2285.9,187138.0,40.08,1.38,45.46,0.0,0.67,0.0,2.95,9.46,12,1.0
9260949410102116352,San Francisco Bay Area,California,San Francisco,420.5,238.2,123692.0,25.3,0.84,61.48,0.0,0.0,0.0,0.22,12.16,3,1.0
9260949444461854720,San Francisco Bay Area,California,San Francisco,3752.3,1963.4,180042.0,32.53,3.95,46.49,0.01,0.01,0.32,11.15,5.54,12,1.0
9260949478821593088,San Francisco Bay Area,California,San Francisco,15078.9,9235.7,190513.0,31.58,3.55,48.52,0.25,0.41,0.49,3.21,11.98,22,1.0
9260949513181331456,San Francisco Bay Area,California,San Francisco,17858.1,9069.4,88191.0,23.83,11.36,39.37,0.64,0.07,0.75,3.41,20.58,28,1.0
9260949547541069824,San Francisco Bay Area,California,San Francisco,14780.8,8439.7,63730.0,28.14,3.41,46.03,0.39,0.12,1.0,5.62,15.29,32,1.0
9260949581900808192,San Francisco Bay Area,California,San Francisco,30385.4,18019.4,84848.0,34.42,6.14,29.5,0.7,0.09,1.41,6.74,20.99,45,1.0
9260949616260546560,San Francisco Bay Area,California,San Francisco,18683.4,10806.4,122415.0,30.74,8.61,29.5,0.18,1.07,1.28,6.01,22.61,27,1.0
9260949650620284928,San Francisco Bay Area,California,San Francisco,16192.7,8055.5,156185.0,50.2,7.24,20.25,0.04,1.48,0.75,5.75,14.3,25,1.0
9260949684980023296,San Francisco Bay Area,California,San Francisco,10894.3,5210.0,188936.0,64.63,2.86,13.92,0.58,0.0,0.51,9.52,7.98,20,1.0
9260949719339761664,San Francisco Bay Area,California,San Francisco,12208.3,5664.5,178513.0,48.48,7.92,18.81,0.28,0.0,4.56,7.61,12.34,18,1.0
9260949753699500032,San Francisco Bay Area,California,San Francisco,15829.7,8037.5,84469.0,35.58,12.51,34.52,0.01,1.16,0.55,5.01,10.66,25,1.0
9260949788059238400,San Francisco Bay Area,California,San Francisco,14079.9,8331.1,187313.0,63.39,3.63,17.22,0.11,0.0,0.06,5.95,9.65,22,1.0
9260949822418976768,San Francisco Bay Area,California,San Francisco,8923.0,4545.4,199864.0,60.8,3.58,19.03,0.07,0.0,0.67,7.11,8.73,19,1.0
9260949856778715136,San Francisco Bay Area,California,San Francisco,8922.4,4681.4,211681.0,71.12,0.64,11.69,0.12,0.17,0.51,4.58,11.18,17,1.0
9260949891138453504,San Francisco Bay Area,California,San Francisco,9123.5,4939.6,210007.0,71.05,0.46,13.58,0.26,1.0,0.64,5.12,7.88,16,1.0
9260949925498191872,San Francisco Bay Area,California,San Francisco,6349.5,3331.2,146237.0,55.99,7.54,18.73,0.75,0.29,0.89,4.98,10.83,10,1.0
9260949959857930240,San Francisco Bay Area,California,San Francisco,19339.1,11169.2,148686.0,53.12,2.32,29.27,0.1,0.0,1.39,4.96,8.83,32,1.0
9260949994217668608,San Francisco Bay Area,California,San Francisco,16847.7,8979.8,93109.0,27.45,2.01,58.0,0.03,0.0,0.55,3.78,8.19,28,1.0
9260950028577406976,San Francisco Bay Area,California,San Francisco,2365.7,1339.6,103098.0,39.03,6.62,32.0,1.06,0.12,1.37,2.6,17.19,7,1.0
9260950234735837184,San Francisco Bay Area,California,San Francisco,2369.9,1188.3,247397.0,86.46,0.27,4.36,0.0,0.0,0.28,7.54,1.09,5,1.0
9260956453848481792,San Francisco Bay Area,California,San Francisco,679.4,313.3,248106.0,87.06,0.01,3.33,0.0,0.0,0.35,7.48,1.77,4,1.0
9260956488208220160,San Francisco Bay Area,California,San Francisco,81.5,24.9,221250.0,61.91,0.05,3.33,0.0,0.0,3.54,14.81,16.36,2,1.0
9260956660006912000,San Francisco Bay Area,California,San Francisco,8472.8,3947.1,139613.0,40.63,3.3,37.47,0.33,0.45,0.23,7.34,10.25,11,1.0
9260956694366650368,San Francisco Bay Area,California,San Francisco,8340.5,3693.7,130496.0,35.49,0.38,46.31,0.01,0.08,0.97,5.75,11.01,11,1.0
9260956728726388736,San Francisco Bay Area,California,San Francisco,10366.1,4536.3,163057.0,36.11,2.05,45.27,0.16,0.0,0.31,7.94,8.15,17,1.0
9260956763086127104,San Francisco Bay Area,California,San Francisco,4213.6,1740.0,194947.0,53.59,0.73,25.63,0.17,0.0,0.11,8.68,11.09,9,1.0
9260956797445865472,San Francisco Bay Area,California,San Francisco,1710.1,707.1,215155.0,57.81,0.4,17.97,0.0,0.0,0.14,8.08,15.61,7,1.0
9260956831805603840,San Francisco Bay Area,California,San Francisco,611.9,278.3,176051.0,72.68,0.65,11.92,0.0,0.2,0.55,4.22,9.77,9,1.0
9260956866165342208,San Francisco Bay Area,California,San Francisco,8023.3,4085.6,176390.0,58.92,1.67,24.52,0.02,0.0,0.38,4.09,10.41,13,1.0
9260956900525080576,San Francisco Bay Area,California,San Francisco,11337.0,4920.0,168618.0,44.67,0.97,36.25,0.05,0.63,0.19,6.99,10.25,19,1.0
9260956934884818944,San Francisco Bay Area,California,San Francisco,5049.4,2129.3,184287.0,52.58,0.56,28.89,0.2,0.01,0.71,7.27,9.79,10,1.0
9260956969244557312,San Francisco Bay Area,California,San Francisco,9491.6,3451.1,156083.0,51.96,3.68,24.41,0.03,0.0,0.52,7.39,12.02,13,1.0
9260957003604295680,San Francisco Bay Area,California,San Francisco,8538.7,4313.3,188529.0,65.05,3.74,12.53,0.09,0.0,0.91,7.81,9.86,15,1.0
9260957037964034048,San Francisco Bay Area,California,San Francisco,8914.4,3882.6,152203.0,42.33,2.39,35.59,0.47,0.11,1.19,9.01,8.91,13,1.0
9260957072323772416,San Francisco Bay Area,California,San Francisco,8486.5,3693.7,134436.0,38.83,2.13,41.75,0.02,0.08,0.64,4.38,12.16,18,1.0
9260957106683510784,San Francisco Bay Area,California,San Francisco,2548.3,1232.8,148592.0,41.87,1.59,33.95,0.0,0.0,2.36,6.06,14.17,9,1.0
9260957141043249152,San Francisco Bay Area,California,San Francisco,4418.8,1767.1,134851.0,23.85,1.4,50.03,0.0,0.0,1.23,8.3,15.19,7,1.0
9260957175402987520,San Francisco Bay Area,California,San Francisco,8018.2,2896.8,151810.0,24.41,1.78,58.1,0.09,0.39,0.61,5.65,8.98,14,1.0
9260957209762725888,San Francisco Bay Area,California,San Francisco,6819.0,2349.0,165794.0,27.64,0.25,60.86,0.02,0.06,0.19,5.46,5.53,19,1.0
9260957244122464256,San Francisco Bay Area,California,San Francisco,2788.5,1061.3,139915.0,33.66,1.19,51.28,0.0,0.0,0.54,8.71,4.62,7,1.0
9260957278482202624,San Francisco Bay Area,California,San Francisco,6052.1,2330.4,123980.0,34.95,1.45,44.27,0.0,0.0,0.38,5.09,13.86,8,1.0
9260957312841940992,San Francisco Bay Area,California,San Francisco,7015.8,2663.4,167035.0,39.18,1.57,44.35,0.01,0.0,0.57,5.7,8.63,17,1.0
9260957347201679360,San Francisco Bay Area,California,San Francisco,4702.8,1920.9,155186.0,40.17,2.48,46.17,0.0,0.0,0.55,3.75,6.88,9,1.0
9260957381561417728,San Francisco Bay Area,California,San Francisco,5919.4,2444.9,123911.0,38.6,0.51,40.99,0.11,0.0,0.15,4.31,15.32,11,1.0
9260957415921156096,San Francisco Bay Area,California,San Francisco,3444.0,1616.9,137735.0,49.08,0.66,32.75,0.0,0.0,0.6,6.24,10.67,6,1.0
9260957450280894464,San Francisco Bay Area,California,San Francisco,844.6,333.6,151263.0,42.36,4.54,45.44,0.0,0.0,0.81,3.79,3.07,7,1.0
9263395892193394688,San Francisco Bay Area,California,Santa Clara,3759.7,1329.7,130611.0,31.02,3.91,17.64,0.38,0.0,0.38,4.85,41.83,8,1.0
9263396682467377152,San Francisco Bay Area,California,Santa Clara,3456.2,1200.4,149310.0,39.13,0.72,32.1,0.09,0.47,0.08,3.4,24.0,7,1.0
9263396785546592256,San Francisco Bay Area,California,Santa Clara,4793.4,1667.7,140062.0,27.92,4.0,35.8,0.0,0.0,0.07,2.59,29.62,7,1.0
9263397300942667776,San Francisco Bay Area,California,Santa Clara,7883.6,1988.8,117918.0,6.55,1.66,36.5,0.09,1.17,0.26,1.6,52.17,11,1.0
9263397335302406144,San Francisco Bay Area,California,Santa Clara,6767.9,1393.1,112043.0,1.77,2.99,22.73,0.61,0.08,1.59,0.88,69.35,12,1.0
9263397369662144512,San Francisco Bay Area,California,Santa Clara,5042.0,1281.1,82042.0,2.25,3.97,34.67,0.79,0.0,0.11,1.42,56.8,10,1.0
9263397404021882880,San Francisco Bay Area,California,Santa Clara,1656.5,561.4,71808.0,4.38,3.22,51.72,0.0,0.0,0.97,3.54,36.17,8,1.0
9263397610180313088,San Francisco Bay Area,California,Santa Clara,3057.7,1101.3,126757.0,21.22,5.56,29.1,0.05,0.0,1.31,4.26,38.49,6,1.0
9263397644540051456,San Francisco Bay Area,California,Santa Clara,2769.4,1043.7,76478.0,14.7,7.89,19.52,0.73,0.0,0.17,1.96,55.05,6,1.0
9263397713259528192,San Francisco Bay Area,California,Santa Clara,832.8,319.1,45423.0,8.18,1.14,56.49,0.0,0.0,4.88,4.61,24.7,3,1.0
9263397747619266560,San Francisco Bay Area,California,Santa Clara,1463.3,541.7,53890.0,10.55,0.32,51.39,0.0,0.0,0.47,2.22,35.04,5,1.0
9263397781979004928,San Francisco Bay Area,California,Santa Clara,3949.0,1371.4,75820.0,12.59,6.92,20.47,0.19,0.0,0.1,2.02,57.7,8,1.0
9263397816338743296,San Francisco Bay Area,California,Santa Clara,3060.2,822.4,94660.0,6.6,3.73,14.1,0.11,0.0,0.26,1.84,73.37,8,1.0
9263397850698481664,San Francisco Bay Area,California,Santa Clara,3610.7,1355.2,140125.0,36.98,2.99,12.49,0.12,0.0,0.13,5.79,41.5,8,1.0
9263397885058220032,San Francisco Bay Area,California,Santa Clara,5752.4,1794.6,110938.0,19.58,1.23,5.48,0.01,0.0,1.53,1.17,71.0,9,1.0
9263397919417958400,San Francisco Bay Area,California,Santa Clara,3672.7,1281.0,193954.0,46.21,0.71,10.12,0.7,0.0,0.28,4.36,37.63,8,1.0
9263397953777696768,San Francisco Bay Area,California,Santa Clara,2837.6,1075.1,231155.0,64.47,0.31,10.22,0.0,0.0,0.01,7.23,17.76,8,1.0
9263397988137435136,San Francisco Bay Area,California,Santa Clara,2617.9,1000.4,219303.0,59.35,1.35,12.68,0.0,0.0,0.0,4.35,22.27,7,1.0
9263398022497173504,San Francisco Bay Area,California,Santa Clara,3650.4,1384.0,173926.0,44.82,3.94,16.96,0.49,0.0,0.04,5.48,28.28,9,1.0
9263398056856911872,San Francisco Bay Area,California,Santa Clara,3253.5,1139.6,157734.0,53.52,2.38,13.28,0.01,0.06,1.71,4.72,24.32,7,1.0
9263398091216650240,San Francisco Bay Area,California,Santa Clara,3275.7,1198.9,162132.0,57.31,0.02,15.78,0.0,0.03,0.25,4.91,21.71,6,1.0
9263398125576388608,San Francisco Bay Area,California,Santa Clara,3261.5,1186.8,190908.0,51.73,0.43,20.78,0.0,0.53,0.4,7.48,18.66,7,1.0
9263398194295865344,San Francisco Bay Area,California,Santa Clara,2677.5,945.5,200979.0,47.45,0.1,28.24,0.0,0.0,0.74,6.12,17.36,3,1.0
9263398228655603712,San Francisco Bay Area,California,Santa Clara,2793.9,980.1,150394.0,44.32,2.42,19.45,0.0,0.39,0.49,5.26,27.67,6,1.0
9263398263015342080,San Francisco Bay Area,California,Santa Clara,5238.0,1737.2,142010.0,25.06,4.92,33.99,0.09,0.03,0.66,2.47,32.78,8,1.0
9263398297375080448,San Francisco Bay Area,California,Santa Clara,2979.8,1201.1,195000.0,16.46,6.16,48.6,0.02,0.01,0.39,6.22,22.15,7,1.0
