market,vintage_end,cumulative_miles,incremental_miles_vs_prior_release,cell_count
Atlanta,202603,3587740.4,3587740.4,168
Atlanta,202606,5783708.0,2195967.6,213
Austin,202506,3224903.1,3224903.1,93
Austin,202509,6336633.6,3111730.5,214
Austin,202512,10721870.3,4385236.7,287
Austin,202603,15788782.8,5066912.5,289
Austin,202606,21064489.3,5275706.5,268
Los Angeles,202506,16462383.1,16462383.1,297
Los Angeles,202509,25469742.4,9007359.3,311
Los Angeles,202512,37857410.4,12387668.0,310
Los Angeles,202603,51815503.3,13958092.9,315
Los Angeles,202606,67097806.2,15282303.0,312
Phoenix,202506,46389725.0,46389725.0,635
Phoenix,202509,56535054.8,10145329.8,624
Phoenix,202512,68613293.0,12078238.2,622
Phoenix,202603,80551000.5,11937707.5,622
Phoenix,202606,92121323.8,11570323.3,615
San Francisco Bay Area,202506,29888159.6,29888159.6,123
San Francisco Bay Area,202509,38816163.6,8928004.0,123
San Francisco Bay Area,202512,53519771.5,14703607.9,614
San Francisco Bay Area,202603,67078125.8,13558354.3,663
San Francisco Bay Area,202606,82421306.6,15343180.8,776
