vintage_end,state,cumulative_miles,cell_count
202407,Unspecified,25280185.5,945
202409,Unspecified,32979452.3,964
202412,Unspecified,49448610.0,987
202503,Unspecified,71432301.3,1090
202506,Unspecified,95965170.8,1148
202509,Unspecified,127157594.3,1272
202512,California,91377181.8,933
202512,Arizona,68613293.0,622
202512,Texas,10721870.3,287
202603,California,118893629.0,992
202603,Arizona,80551000.5,622
202603,Texas,15788782.8,289
202603,Georgia,3587740.4,176
202606,California,149519112.8,1102
202606,Arizona,92121323.8,615
202606,Texas,21064489.3,268
202606,Georgia,5783708.0,224
